,Crop,Sowing Time,Region,Min Temp,Max Temp,Soil pH,Soil Type,Min Rainfall,Max Rainfall
0,bajra,june,andhra pradesh,20,31,6,black cotton soil,25,60
1,bajra,july,andhra pradesh,20,31,6,black cotton soil,25,60
2,bajra,january,andhra pradesh,20,31,6,black cotton soil,25,60
3,bajra,february,andhra pradesh,20,31,6,black cotton soil,25,60
4,bajra,march,andhra pradesh,20,31,6,black cotton soil,25,60
5,bajra,june,gujrat,20,31,6,black cotton soil,25,60
6,bajra,july,gujrat,20,31,6,black cotton soil,25,60
7,bajra,february,gujrat,20,31,6,black cotton soil,25,60
8,bajra,january,gujrat,20,31,6,black cotton soil,25,60
9,bajra,february,gujrat,20,31,6,black cotton soil,25,60
10,bajra,march,gujrat,20,31,6,black cotton soil,25,60
11,bajra,june,haryana,20,31,6,black cotton soil,25,60
12,bajra,july,haryana,20,31,6,black cotton soil,25,60
13,bajra,july,karnataka,20,31,6,black cotton soil,25,60
14,bajra,august,karnataka,20,31,6,black cotton soil,25,60
15,bajra,september,karnataka,20,31,6,black cotton soil,25,60
16,bajra,january,karnataka,20,31,6,black cotton soil,25,60
17,bajra,february,karnataka,20,31,6,black cotton soil,25,60
18,bajra,march,karnataka,20,31,6,black cotton soil,25,60
19,bajra,june,madhya pradesh,20,31,6,black cotton soil,25,60
20,bajra,july,madhya pradesh,20,31,6,black cotton soil,25,60
21,bajra,june,maharashtra,20,31,6,black cotton soil,25,60
22,bajra,july,maharashtra,20,31,6,black cotton soil,25,60
23,bajra,january,maharashtra,20,31,6,black cotton soil,25,60
24,bajra,february,maharashtra,20,31,6,black cotton soil,25,60
25,bajra,march,maharashtra,20,31,6,black cotton soil,25,60
26,bajra,june,odisha,20,31,6,black cotton soil,25,60
27,bajra,july,odisha,20,31,6,black cotton soil,25,60
28,bajra,june,rajasthan,20,31,6,black cotton soil,25,60
29,bajra,july,rajasthan,20,31,6,black cotton soil,25,60
30,bajra,june,uttar pradesh,20,31,6,black cotton soil,25,60
31,bajra,july,uttar pradesh,20,31,6,black cotton soil,25,60
32,bajra,october,tamil nadu,20,31,6,black cotton soil,25,60
33,bajra,january,tamil nadu,20,31,6,black cotton soil,25,60
34,bajra,february,tamil nadu,20,31,6,black cotton soil,25,60
35,bajra,march,tamil nadu,20,31,6,black cotton soil,25,60
36,bajra,january,punjab,20,31,6,black cotton soil,25,60
37,bajra,february,punjab,20,31,6,black cotton soil,25,60
38,bajra,june,punjab,20,31,6,black cotton soil,25,60
39,bajra,july,punjab,20,31,6,black cotton soil,25,60
40,bajra,january,delhi,20,31,6,black cotton soil,25,60
41,bajra,february,delhi,20,31,6,black cotton soil,25,60
42,bajra,june,delhi,20,31,6,black cotton soil,25,60
43,bajra,july,delhi,20,31,6,black cotton soil,25,60
44,barley,november,rajasthan,12,32,7.5,loamy soil,25,55
45,barley,december,rajasthan,12,32,7.5,loamy soil,25,55
46,barley,september,uttar pradesh,12,32,7.5,loamy soil,25,55
47,barley,october,uttar pradesh,12,32,7.5,loamy soil,25,55
48,barley,september,madhya pradesh,12,32,7.5,loamy soil,25,55
49,barley,october,madhya pradesh,12,32,7.5,loamy soil,25,55
50,barley,november,madhya pradesh,12,32,7.5,loamy soil,25,55
51,barley,november,haryana,12,32,7.5,loamy soil,25,55
52,barley,december,haryana,12,32,7.5,loamy soil,25,55
53,barley,november,punjab,12,32,7.5,loamy soil,25,55
54,barley,december,punjab,12,32,7.5,loamy soil,25,55
55,barley,september,west bengal,12,32,7.5,loamy soil,25,55
56,barley,october,west bengal,12,32,7.5,loamy soil,25,55
57,barley,september,bihar,12,32,7.5,loamy soil,25,55
58,barley,october,bihar,12,32,7.5,loamy soil,25,55
59,barley,october,jammu kashmir,12,32,7.5,loamy soil,25,55
60,barley,november,jammu kashmir,12,32,7.5,loamy soil,25,55
61,barley,october,uttarakhand,12,32,7.5,loamy soil,25,55
62,barley,november,uttarakhand,12,32,7.5,loamy soil,25,55
63,barley,april,himachal pradesh,12,32,7.5,loamy soil,25,55
64,barley,may,himachal pradesh,12,32,7.5,loamy soil,25,55
65,barley,october,himachal pradesh,12,32,7.5,loamy soil,25,55
66,blackeyedbeans,may,north india,20,30,6.4,red soil,25,55
67,blackeyedbeans,june,north india,20,30,6.4,red soil,25,55
68,blackeyedbeans,may,north india,20,30,6.4,black cotton soil,25,55
69,blackeyedbeans,june,north india,20,30,6.4,black cotton soil,25,55
70,blackeyedbeans,may,north india,20,30,6.4,laterite soil,25,55
71,blackeyedbeans,june,north india,20,30,6.4,laterite soil,25,55
72,blackeyedbeans,may,north india,20,30,6.4,sandy soil,25,55
73,blackeyedbeans,june,north india,20,30,6.4,sandy soil,25,55
74,blackeyedbeans,may,maharashtra,20,30,6.4,red soil,25,55
75,blackeyedbeans,june,maharashtra,20,30,6.4,red soil,25,55
76,blackeyedbeans,may,maharashtra,20,30,6.4,black cotton soil,25,55
77,blackeyedbeans,june,maharashtra,20,30,6.4,black cotton soil,25,55
78,blackeyedbeans,may,maharashtra,20,30,6.4,laterite soil,25,55
79,blackeyedbeans,june,maharashtra,20,30,6.4,laterite soil,25,55
80,blackeyedbeans,may,maharashtra,20,30,6.4,sandy soil,25,55
81,blackeyedbeans,june,maharashtra,20,30,6.4,sandy soil,25,55
82,blackeyedbeans,may,karnataka,20,30,6.4,red soil,25,55
83,blackeyedbeans,june,karnataka,20,30,6.4,red soil,25,55
84,blackeyedbeans,may,karnataka,20,30,6.4,black cotton soil,25,55
85,blackeyedbeans,june,karnataka,20,30,6.4,black cotton soil,25,55
86,blackeyedbeans,may,karnataka,20,30,6.4,laterite soil,25,55
87,blackeyedbeans,june,karnataka,20,30,6.4,laterite soil,25,55
88,blackeyedbeans,may,karnataka,20,30,6.4,sandy soil,25,55
89,blackeyedbeans,june,karnataka,20,30,6.4,sandy soil,25,55
90,blackeyedbeans,may,andhra pradesh,20,30,6.4,red soil,25,55
91,blackeyedbeans,june,andhra pradesh,20,30,6.4,red soil,25,55
92,blackeyedbeans,may,andhra pradesh,20,30,6.4,black cotton soil,25,55
93,blackeyedbeans,june,andhra pradesh,20,30,6.4,black cotton soil,25,55
94,blackeyedbeans,may,andhra pradesh,20,30,6.4,laterite soil,25,55
95,blackeyedbeans,june,andhra pradesh,20,30,6.4,laterite soil,25,55
96,blackeyedbeans,may,andhra pradesh,20,30,6.4,sandy soil,25,55
97,blackeyedbeans,june,andhra pradesh,20,30,6.4,sandy soil,25,55
98,blackgram,june,andhra pradesh,25,35,7,black cotton soil,60,75
99,blackgram,july,andhra pradesh,25,35,7,black cotton soil,60,75
101,blackgram,october,andhra pradesh,25,35,7,black cotton soil,60,75
102,blackgram,november,andhra pradesh,25,35,7,black cotton soil,60,75
103,blackgram,december,andhra pradesh,25,35,7,black cotton soil,60,75
104,blackgram,january,andhra pradesh,25,35,7,black cotton soil,60,75
105,blackgram,august,assam,25,35,7,black cotton soil,60,75
106,blackgram,september,assam,25,35,7,black cotton soil,60,75
107,blackgram,october,assam,25,35,7,black cotton soil,60,75
108,blackgram,november,assam,25,35,7,black cotton soil,60,75
109,blackgram,december,assam,25,35,7,black cotton soil,60,75
110,blackgram,february,assam,25,35,7,black cotton soil,60,75
111,blackgram,march,assam,25,35,7,black cotton soil,60,75
112,blackgram,april,assam,25,35,7,black cotton soil,60,75
113,blackgram,may,karnataka,25,35,7,black cotton soil,60,75
114,blackgram,june,karnataka,25,35,7,black cotton soil,60,75
115,blackgram,july,karnataka,25,35,7,black cotton soil,60,75
116,blackgram,august,karnataka,25,35,7,black cotton soil,60,75
117,blackgram,october,karnataka,25,35,7,black cotton soil,60,75
118,blackgram,november,karnataka,25,35,7,black cotton soil,60,75
119,blackgram,february,karnataka,25,35,7,black cotton soil,60,75
120,blackgram,march,karnataka,25,35,7,black cotton soil,60,75
121,blackgram,march,kerala,25,35,7,black cotton soil,60,75
122,blackgram,april,kerala,25,35,7,black cotton soil,60,75
123,blackgram,may,kerala,25,35,7,black cotton soil,60,75
124,blackgram,june,kerala,25,35,7,black cotton soil,60,75
125,blackgram,september,kerala,25,35,7,black cotton soil,60,75
126,blackgram,october,kerala,25,35,7,black cotton soil,60,75
128,blackgram,june,madhya pradesh,25,35,7,black cotton soil,60,75
129,blackgram,july,madhya pradesh,25,35,7,black cotton soil,60,75
130,blackgram,august,madhya pradesh,25,35,7,black cotton soil,60,75
